dataset,mode,policy,subset_size,dsre_median_regret@1,committee_mean_regret@1,committee_mean_true_rank,n_records
three_phase_starcoder,prospective,doptimal_replay,16,0.01384657621383667,0.025674452384312946,39.333333333333336,16
three_phase_starcoder,prospective,feature_bayes_linear_replay,16,0.008656144142150879,0.01554030179977417,26.833333333333332,16
three_phase_starcoder,prospective,feature_dpp_replay,16,0.008510887622833252,0.016658951838811237,27.5,16
three_phase_starcoder,prospective,feature_maximin_replay,16,0.008656144142150879,0.015881290038426716,26.333333333333332,16
three_phase_starcoder,prospective,sampler_replay,16,0.008768558502197266,0.05399270852406818,42.333333333333336,16
three_phase_starcoder,retrospective,doptimal_observed,16,0.06467589735984802,0.034451971451441445,42.5,8
three_phase_starcoder,retrospective,feature_bayes_linear_observed,16,0.004587113857269287,0.012825071811676025,21.666666666666668,1
three_phase_starcoder,retrospective,feature_dpp_observed,16,0.0020932555198669434,0.0062683820724487305,11.666666666666666,1
three_phase_starcoder,retrospective,feature_maximin_observed,16,0.0020932555198669434,0.0094564159711202,14.333333333333334,1
three_phase_starcoder,retrospective,random_observed,16,0.00928962230682373,0.020965685447057087,33.333333333333336,64
two_phase_starcoder,prospective,doptimal_replay,10,0.005128920078277588,0.00877495606740312,23.333333333333332,16
two_phase_starcoder,prospective,feature_bayes_linear_replay,10,0.005128920078277588,0.002800464630126953,10.333333333333334,16
two_phase_starcoder,prospective,feature_dpp_replay,10,0.005305677652359009,0.013971388339996374,26.833333333333332,16
two_phase_starcoder,prospective,feature_maximin_replay,10,0.014698147773742676,0.0066121915976206464,16.333333333333332,16
two_phase_starcoder,prospective,sampler_replay,10,0.003004014492035023,0.5420174499352773,46.0,16
two_phase_starcoder,retrospective,doptimal_observed,10,0.004686594009399414,0.015498260656992557,26.0,8
two_phase_starcoder,retrospective,feature_bayes_linear_observed,10,0.004686594009399414,0.0068410833676656084,17.0,1
two_phase_starcoder,retrospective,feature_dpp_observed,10,0.005128920078277588,0.003563523292541504,12.666666666666666,1
two_phase_starcoder,retrospective,feature_maximin_observed,10,0.00548243522644043,0.008289059003194174,22.0,1
two_phase_starcoder,retrospective,random_observed,10,0.003004014492035023,0.007059226433436076,19.333333333333332,64
