dataset,k,policy,seed,subset_id,selected_indices,success,regret@1,regret@5,chosen_true_rank,rmse,spearman,runtime_s
two_phase_starcoder,10,random_observed,1010,2-10-13-58-73-74-96-98-102-111,"[2, 10, 13, 58, 73, 74, 96, 98, 102, 111]",1.0,0.004686594009399414,0.0,17.0,0.08735595408289604,0.9447199477184485,1.5962755420041503
two_phase_starcoder,10,random_observed,1011,4-5-11-28-45-58-61-69-96-113,"[4, 5, 11, 28, 45, 58, 61, 69, 96, 113]",1.0,0.0027552247047424316,0.00032567977905262335,9.0,7.1212044824299365,0.9328720255256987,1.333952084001794
two_phase_starcoder,10,random_observed,1012,0-2-12-18-24-27-36-99-106-114,"[0, 2, 12, 18, 24, 27, 36, 99, 106, 114]",1.0,0.0027552247047424316,6.878376007080078e-05,9.0,0.6248258613439522,0.943236074270557,1.0494768749995274
two_phase_starcoder,10,random_observed,1013,9-42-45-71-75-80-86-98-113-114,"[9, 42, 45, 71, 75, 80, 86, 98, 113, 114]",1.0,0.004112839698791393,0.004112839698791393,15.0,0.12434703012634277,0.8881021027947564,2.911735667003086
two_phase_starcoder,10,random_observed,1014,27-30-33-63-67-90-93-104-111-112,"[27, 30, 33, 63, 67, 90, 93, 104, 111, 112]",1.0,0.0,0.0,1.0,4.170248888877263,0.906831199784723,0.662071916005516
two_phase_starcoder,10,random_observed,1015,5-8-15-39-41-49-65-72-88-111,"[5, 8, 15, 39, 41, 49, 65, 72, 88, 111]",1.0,0.01576787233352661,0.014097630977630615,32.0,7.583271614205275,0.9012416868488834,1.9592252500005998
two_phase_starcoder,10,kcenter_observed,2010,49-50-54-55-56-70-89-91-104-105,"[49, 50, 54, 55, 56, 70, 89, 91, 104, 105]",1.0,0.0672311782836914,0.03184103965759266,66.0,0.074662598831412,0.8603390612386116,1.2193980000010924
two_phase_starcoder,10,kcenter_observed,2011,32-50-51-56-62-72-82-84-109-114,"[32, 50, 51, 56, 62, 72, 82, 84, 109, 114]",1.0,0.0018771886825562634,0.0008053779602050781,7.0,0.14071272126867232,0.9345788644139469,2.027726916996471
two_phase_starcoder,10,doptimal_observed,3010,41-43-55-56-68-87-93-101-110-115,"[41, 43, 55, 56, 68, 87, 93, 101, 110, 115]",1.0,0.004686594009399414,0.0,17.0,0.04955422577591913,0.9416906931149811,1.3219548750057584
two_phase_starcoder,10,doptimal_observed,3011,41-43-55-56-68-87-93-101-110-115,"[41, 43, 55, 56, 68, 87, 93, 101, 110, 115]",1.0,0.004686594009399414,0.0,17.0,0.04955422577591913,0.9416906931149811,0.7724264169955859
two_phase_starcoder,10,oracle_hill_climb,1014,27-30-33-48-63-67-90-93-104-112,"[27, 30, 33, 48, 63, 67, 90, 93, 104, 112]",1.0,0.32028383016586304,0.05152994394302379,86.0,2.8446029258616936,0.7146119248068273,1.0576762080017943
two_phase_starcoder,10,oracle_hill_climb,2011,32-50-51-56-62-70-72-84-109-114,"[32, 50, 51, 56, 62, 70, 72, 84, 109, 114]",1.0,0.0008053779602050781,0.0008053779602050781,5.0,0.15366277158225017,0.9024257102218122,0.5316060420009308
