model,drop_0p5_to_1_actual_mean,drop_0p5_to_1_pred_mean,drop_0p5_to_1_ratio,drop_0p5_to_1_n,drop_0p5_to_2_actual_mean,drop_0p5_to_2_pred_mean,drop_0p5_to_2_ratio,drop_0p5_to_2_n,drop_1_to_2_actual_mean,drop_1_to_2_pred_mean,drop_1_to_2_ratio,drop_1_to_2_n
smooth_mct_lrq_like,0.023635695377985665,0.008573010784661059,0.36271455726434765,12.0,0.03955264886220299,0.016367299055001356,0.41381044066159,12.0,0.015916953484217327,0.007794288270340298,0.48968467980187486,12.0
paper_first_order_domain_power,0.023635695377985665,0.003089398148791648,0.130709001761341,12.0,0.03955264886220299,0.005903597609362876,0.14925922230721766,12.0,0.015916953484217327,0.002814199460571228,0.17680515705230188,12.0
paper_first_order_domain_log,0.023635695377985665,0.003253029472848603,0.13763206120343222,12.0,0.03955264886220299,0.0062502229299331025,0.15802286597057458,12.0,0.015916953484217327,0.0029971934570844996,0.18830195489711066,12.0
paper_first_order_current_source_power,0.023635695377985665,0.00847133830383535,0.35841290761115374,12.0,0.03955264886220299,0.016173013521462016,0.40889836677707697,12.0,0.015916953484217327,0.007701675217626667,0.48386616353835354,12.0
paper_first_order_current_source_log,0.023635695377985665,0.01043849199885282,0.44164099392545275,12.0,0.03955264886220299,0.020426570288576112,0.5164400078422055,12.0,0.015916953484217327,0.009988078289723293,0.6275119355991778,12.0
paper_first_order_canonical_power,0.023635695377985665,0.009693940335642711,0.41013984063577275,12.0,0.03955264886220299,0.018506206390682695,0.4678879145403447,12.0,0.015916953484217327,0.008812266055039986,0.5536402467832747,12.0
paper_entropy_current_source_power,0.023635695377985665,0.012972280682746843,0.5488427767955264,12.0,0.03955264886220299,0.024760805521635804,0.6260214229367971,12.0,0.015916953484217327,0.011788524838888962,0.7406269579526028,12.0
paper_second_order_current_source_tau0.1,0.023635695377985665,0.008567589172910747,0.3624851748973976,12.0,0.03955264886220299,0.016356877084905564,0.41354694452680263,12.0,0.015916953484217327,0.007789287911994819,0.48937052682338955,12.0
paper_second_order_current_source_tau1,0.023635695377985665,0.008567589170767933,0.3624851748067376,12.0,0.03955264886220299,0.016356877080811193,0.41354694442328566,12.0,0.015916953484217327,0.007789287910043259,0.4893705267007807,12.0
paper_first_second_current_source_power_tau0.1,0.023635695377985665,0.008439494822420021,0.35706564530699547,12.0,0.03955264886220299,0.016112174916924626,0.4073601991375506,12.0,0.015916953484217327,0.007672680094504604,0.48204451323631464,12.0
paper_full_current_source_power_tau0.1,0.023635695377985665,0.014195723064167646,0.6006052640782286,12.0,0.03955264886220299,0.02709534990259972,0.6850451406427137,12.0,0.015916953484217327,0.012899626838432071,0.8104331555170323,12.0
